cliente_id,idade,genero,plano,valor_mensal,tempo_assinatura_meses,num_dispositivos,horas_visualizacao_semana,num_reclamacoes_6m,atrasos_pagamento_6m,usa_suporte,satisfacao_score,cancelou
CLI00084,25,Masculino,Básico,19.63,10,3,2.5,0,1,0,6.3,1
CLI00085,51,Masculino,Básico,22.75,2,2,1.9,1,1,1,6.5,1
CLI00086,29,Masculino,Básico,21.75,2,2,4.3,0,1,0,6.7,0
CLI00087,46,Feminino,Padrão,36.83,13,4,17.6,0,0,0,9.0,0
CLI00088,63,Masculino,Premium,57.37,6,2,14.3,3,1,0,6.6,1
CLI00089,30,Feminino,Básico,20.08,35,4,1.5,0,0,1,10.0,0
CLI00090,23,Feminino,Básico,20.29,8,4,3.0,0,0,0,7.3,0
CLI00091,29,Feminino,Padrão,33.66,3,3,10.9,1,1,0,9.1,1
CLI00092,38,Masculino,Premium,54.27,18,3,4.7,0,1,0,8.6,0
CLI00093,55,Masculino,Básico,21.13,5,5,9.0,0,0,0,6.9,0
CLI00094,36,Feminino,Padrão,37.31,11,2,1.6,2,1,0,5.8,1
CLI00095,31,Masculino,Básico,19.62,17,2,6.6,1,0,0,7.7,0
CLI00096,60,Masculino,Básico,19.0,33,3,6.1,0,0,1,8.0,0
CLI00097,33,Masculino,Premium,54.9,22,2,12.3,0,0,1,5.9,0
CLI00098,62,Feminino,Premium,56.1,16,4,8.6,0,0,0,7.3,0
CLI00099,68,Feminino,Básico,17.01,16,4,7.2,0,0,1,9.5,0
CLI00100,39,Masculino,Premium,50.31,41,5,1.3,1,0,0,10.0,0
CLI00101,41,Feminino,Padrão,33.8,5,2,21.0,1,0,0,8.7,0
CLI00102,40,Masculino,Premium,52.46,1,2,10.4,0,0,0,10.0,0
CLI00103,60,Masculino,Padrão,33.88,5,2,3.7,1,0,0,5.7,1
CLI00104,56,Masculino,Padrão,34.6,4,2,7.1,2,2,1,8.4,1
CLI00105,44,Masculino,Padrão,33.99,16,3,4.9,0,0,0,9.7,0
CLI00106,30,Feminino,Padrão,37.8,15,1,5.6,2,1,0,5.2,1
CLI00107,60,Feminino,Básico,20.55,13,2,14.2,2,0,0,6.0,0
CLI00108,16,Feminino,Básico,20.5,1,3,3.0,1,1,0,10.0,0
CLI00109,40,Masculino,Básico,21.14,19,5,10.7,1,0,0,5.0,0
CLI00110,22,Masculino,Padrão,32.62,6,1,14.6,0,2,0,4.3,0
CLI00111,24,Masculino,Básico,21.98,16,1,9.6,0,0,0,10.0,0
CLI00112,39,Feminino,Padrão,34.75,12,2,5.8,0,0,1,9.4,0
CLI00113,16,Masculino,Premium,56.24,6,2,3.5,1,1,0,7.9,0
CLI00114,59,Feminino,Básico,17.76,3,5,3.9,0,0,0,6.9,0
CLI00115,23,Feminino,Padrão,31.79,2,3,7.2,0,1,0,6.1,0
CLI00116,39,Feminino,Padrão,36.54,25,3,6.8,1,0,0,7.6,0
CLI00117,26,Feminino,Premium,55.65,36,3,11.6,0,0,1,10.0,0
CLI00118,66,Feminino,Básico,18.1,15,6,1.7,0,0,0,7.5,1
CLI00119,32,Feminino,Padrão,33.16,2,4,14.0,0,0,0,10.0,0
CLI00120,23,Masculino,Premium,57.15,8,5,30.0,0,2,1,5.2,0
CLI00121,50,Masculino,Premium,52.52,19,4,6.2,0,0,0,7.0,0
CLI00122,50,Feminino,Padrão,38.19,22,1,5.5,1,0,0,6.3,0
CLI00123,48,Feminino,Padrão,33.1,2,4,5.9,0,0,0,4.8,0
CLI00124,20,Masculino,Padrão,36.18,1,3,7.0,1,0,1,6.7,0
CLI00125,57,Feminino,Premium,54.24,18,4,5.2,1,1,0,7.8,0
CLI00126,54,Feminino,Padrão,36.11,7,4,1.0,1,0,0,8.0,0
CLI00127,56,Masculino,Básico,18.81,5,2,5.8,1,0,0,10.0,0
CLI00128,43,Feminino,Premium,54.57,1,2,7.3,0,0,0,7.9,0
CLI00129,22,Feminino,Padrão,34.98,11,5,15.0,0,0,0,9.3,0
CLI00130,24,Feminino,Padrão,32.9,27,1,3.0,2,0,0,7.1,0
CLI00131,23,Masculino,Básico,21.38,45,3,19.0,0,0,0,10.0,0
CLI00132,27,Masculino,Padrão,33.87,12,4,4.9,0,1,0,10.0,0
CLI00133,49,Masculino,Padrão,34.44,11,2,3.3,0,0,0,8.1,0
CLI00134,48,Feminino,Padrão,32.91,2,1,10.4,0,0,1,5.0,1
CLI00135,63,Feminino,Básico,14.78,12,4,4.5,0,1,0,5.9,0
CLI00136,38,Masculino,Padrão,34.52,7,3,6.3,3,0,0,7.6,1
CLI00137,39,Feminino,Premium,59.73,14,2,6.6,1,0,0,7.9,0
CLI00138,52,Feminino,Básico,21.47,7,3,10.0,0,1,0,8.4,0
CLI00139,50,Feminino,Premium,54.86,4,2,6.2,1,0,0,7.9,0
CLI00140,59,Feminino,Padrão,34.37,2,1,5.7,0,0,0,7.0,0
CLI00141,55,Feminino,Premium,54.94,6,3,4.8,0,0,0,5.7,0
CLI00142,37,Masculino,Premium,55.99,2,1,9.3,0,0,1,7.8,0
CLI00143,42,Feminino,Padrão,32.54,3,4,4.3,1,0,0,10.0,1
CLI00144,50,Masculino,Padrão,37.13,62,3,15.4,0,1,0,9.0,0
CLI00145,16,Feminino,Premium,56.33,9,5,6.7,0,0,0,8.1,0
CLI00146,50,Masculino,Padrão,36.34,11,2,1.3,1,0,1,9.1,0
CLI00147,52,Feminino,Básico,20.78,29,1,8.1,1,0,0,6.3,0
CLI00148,62,Masculino,Padrão,34.94,72,1,9.1,0,0,0,6.0,0
CLI00149,29,Feminino,Premium,56.25,13,5,15.5,0,2,1,5.5,0
CLI00150,18,Masculino,Premium,56.08,24,1,3.6,1,0,0,6.7,0
CLI00151,16,Feminino,Premium,54.19,6,6,3.2,0,0,0,6.2,1
CLI00152,20,Masculino,Padrão,33.75,6,1,10.2,1,1,0,9.4,0
CLI00153,41,Feminino,Premium,55.1,8,4,13.9,0,2,1,6.0,1
CLI00154,29,Masculino,Básico,23.0,16,3,3.5,0,1,0,5.4,0
CLI00155,54,Masculino,Padrão,32.42,17,2,7.9,0,0,1,10.0,0
CLI00156,42,Feminino,Básico,16.96,6,2,6.3,1,0,0,6.1,0
CLI00157,24,Feminino,Básico,20.23,3,2,3.6,1,1,0,7.3,0
CLI00158,30,Masculino,Padrão,35.0,15,3,6.0,0,1,0,7.9,0
CLI00159,30,Feminino,Padrão,35.25,2,4,13.2,0,1,0,4.7,0
CLI00160,41,Masculino,Padrão,35.39,13,3,6.7,0,0,0,9.5,0
CLI00161,57,Masculino,Padrão,34.45,17,4,5.8,0,1,0,8.3,0
CLI00162,28,Masculino,Padrão,37.88,17,4,9.9,2,0,0,10.0,0
CLI00163,66,Feminino,Básico,16.7,20,2,14.0,0,0,0,5.6,0
CLI00164,47,Masculino,Padrão,33.24,29,3,2.9,0,0,0,7.2,0
CLI00165,54,Masculino,Básico,19.69,10,3,8.2,0,0,1,7.1,0
CLI00166,64,Feminino,Básico,16.61,19,3,5.0,0,1,0,7.5,0
CLI00167,67,Feminino,Padrão,34.55,14,5,6.7,0,0,1,4.1,0
CLI00168,47,Feminino,Padrão,38.22,3,2,10.4,2,0,0,7.2,0
CLI00169,19,Feminino,Padrão,34.94,1,1,5.3,0,0,1,4.1,0
CLI00170,45,Masculino,Padrão,35.36,5,2,6.1,0,1,0,7.7,0
CLI00171,52,Masculino,Padrão,32.38,9,3,12.5,3,1,0,2.7,1
CLI00172,38,Masculino,Premium,53.67,14,1,8.9,1,0,1,3.3,0
CLI00173,54,Masculino,Padrão,34.15,27,2,6.0,1,1,1,8.6,0
CLI00174,60,Feminino,Padrão,34.26,4,1,7.2,0,0,0,5.9,0
CLI00175,30,Masculino,Básico,22.46,2,3,6.8,1,2,0,5.0,1
CLI00176,58,Masculino,Básico,21.02,47,3,1.2,0,0,0,9.5,0
CLI00177,44,Feminino,Padrão,32.68,2,4,7.3,0,0,0,7.7,0
CLI00178,51,Masculino,Padrão,35.39,10,1,2.1,0,0,1,8.7,0
CLI00179,28,Masculino,Padrão,35.9,13,6,13.8,0,1,0,6.7,0
CLI00180,47,Masculino,Padrão,37.18,11,6,2.1,0,0,1,10.0,0
CLI00181,22,Masculino,Padrão,38.06,2,2,4.8,0,1,0,5.8,0
CLI00182,66,Masculino,Premium,52.87,1,5,4.1,0,0,0,10.0,0
CLI00183,37,Masculino,Premium,53.28,2,3,17.1,1,3,1,6.9,0
CLI00184,43,Feminino,Padrão,32.38,13,4,13.4,0,1,0,3.7,0
CLI00185,17,Feminino,Premium,54.43,12,3,0.6,0,0,0,8.0,0
CLI00186,57,Masculino,Básico,20.83,4,4,6.5,2,1,0,7.6,0
CLI00187,60,Masculino,Básico,21.87,15,3,2.5,1,1,0,4.9,0
CLI00188,68,Feminino,Básico,19.75,25,3,7.3,1,0,0,5.2,1
CLI00189,21,Masculino,Padrão,34.26,1,3,10.2,2,1,0,7.0,0
CLI00190,43,Masculino,Premium,55.2,10,3,7.8,0,1,0,7.7,0
CLI00191,43,Masculino,Básico,18.23,17,1,10.7,1,1,1,2.1,1
CLI00192,59,Feminino,Premium,59.08,5,5,5.4,0,0,0,9.1,1
CLI00193,59,Masculino,Básico,16.68,6,5,8.0,1,0,1,6.0,0
CLI00194,35,Feminino,Premium,55.27,14,2,10.4,0,2,0,4.3,0
CLI00195,45,Masculino,Padrão,38.95,32,4,4.6,1,0,0,8.9,0
CLI00196,26,Feminino,Básico,19.91,24,1,3.2,0,0,0,7.0,0
CLI00197,43,Feminino,Padrão,34.52,13,3,3.9,0,0,0,9.4,0
CLI00198,40,Masculino,Básico,19.19,19,1,6.0,0,0,0,7.9,0
CLI00199,54,Feminino,Básico,19.54,7,4,6.6,0,0,0,7.0,0
CLI00200,48,Masculino,Básico,22.65,15,3,8.3,0,2,0,6.7,0
CLI00201,16,Feminino,Premium,50.48,9,2,3.6,0,0,1,8.0,0
CLI00202,42,Masculino,Padrão,37.97,3,1,10.6,2,1,0,6.2,1
CLI00203,67,Masculino,Básico,17.05,17,1,19.7,1,0,0,5.3,0
CLI00204,28,Feminino,Padrão,34.37,12,5,4.1,0,0,0,8.2,0
CLI00205,56,Masculino,Padrão,34.04,7,3,26.7,0,0,0,6.7,0
CLI00206,18,Masculino,Básico,21.08,34,3,21.4,2,1,0,7.1,0
CLI00207,54,Feminino,Padrão,31.7,1,4,6.6,0,0,0,9.2,1
CLI00208,21,Masculino,Básico,20.82,6,6,5.9,0,0,0,6.8,0
CLI00209,23,Masculino,Básico,23.95,1,4,3.9,0,1,0,7.0,0
CLI00210,42,Feminino,Padrão,32.17,21,1,11.7,1,0,0,5.8,0
CLI00211,24,Feminino,Básico,20.28,17,1,6.9,1,4,0,7.9,0
CLI00212,52,Masculino,Padrão,33.58,6,3,7.4,2,0,0,7.7,0
CLI00213,48,Masculino,Padrão,35.75,16,3,3.3,2,0,1,8.8,0
CLI00214,66,Feminino,Básico,19.94,8,3,11.9,0,0,0,5.8,0
CLI00215,57,Feminino,Padrão,33.62,20,4,5.5,1,2,0,6.1,0
CLI00216,59,Masculino,Básico,20.88,9,1,2.7,0,0,0,8.6,1
CLI00217,39,Feminino,Premium,58.51,8,1,6.2,0,2,1,7.5,0
CLI00218,30,Masculino,Padrão,34.52,39,4,3.5,3,1,0,5.2,1
CLI00219,69,Masculino,Premium,56.34,5,3,15.5,0,0,0,9.6,0
CLI00220,47,Masculino,Padrão,32.31,2,4,21.2,1,1,1,3.6,0
CLI00221,47,Masculino,Básico,17.99,13,2,6.3,0,0,0,8.6,0
CLI00222,39,Masculino,Padrão,35.84,49,4,13.1,0,0,0,4.5,0
CLI00223,56,Feminino,Premium,57.87,7,4,12.9,0,2,0,10.0,0
CLI00224,67,Feminino,Padrão,35.61,1,2,0.1,1,0,0,3.9,1
CLI00225,64,Feminino,Premium,54.27,6,4,3.9,2,0,0,9.3,0
CLI00226,64,Feminino,Premium,54.9,10,5,7.1,2,0,0,6.8,1
CLI00227,67,Masculino,Básico,17.4,3,3,4.7,1,0,0,6.3,1
CLI00228,27,Masculino,Básico,21.11,16,2,3.7,3,0,0,7.4,0
CLI00229,54,Masculino,Padrão,36.66,72,5,13.5,0,0,1,8.3,0
CLI00230,17,Masculino,Padrão,34.0,9,2,4.6,0,0,0,5.2,1
CLI00231,18,Feminino,Premium,53.96,7,2,8.3,0,0,0,5.4,0
CLI00232,64,Masculino,Premium,55.43,8,4,12.7,2,1,0,8.3,0
CLI00233,52,Masculino,Padrão,34.03,2,2,16.1,0,0,0,3.6,0
CLI00234,64,Feminino,Básico,19.77,31,5,2.7,3,0,0,5.8,0
CLI00235,32,Feminino,Premium,59.1,8,4,2.9,0,0,0,10.0,0
CLI00236,64,Feminino,Básico,19.41,7,1,7.7,0,0,0,5.1,0
CLI00237,17,Feminino,Premium,54.18,16,3,0.9,1,2,0,9.3,0
CLI00238,17,Masculino,Padrão,33.6,9,4,3.0,1,0,0,5.8,1
CLI00239,43,Masculino,Padrão,36.39,15,3,14.5,0,0,0,8.0,0
CLI00240,69,Feminino,Básico,19.54,1,2,10.1,1,1,0,8.3,0
CLI00241,38,Masculino,Padrão,33.6,24,5,6.0,2,0,1,9.3,0
CLI00242,52,Masculino,Padrão,37.54,40,2,9.1,1,2,0,6.6,0
CLI00243,47,Masculino,Padrão,37.74,15,2,10.5,0,2,0,10.0,0
CLI00244,48,Feminino,Básico,18.7,44,1,1.9,0,0,0,5.8,0
CLI00245,16,Masculino,Padrão,31.17,3,4,4.5,0,1,1,7.5,0
CLI00246,34,Feminino,Premium,56.92,10,1,15.7,0,1,0,7.5,0
CLI00247,17,Masculino,Básico,18.53,13,3,7.8,1,0,0,4.8,0
CLI00248,68,Masculino,Básico,21.48,13,2,8.1,0,0,0,6.4,0
CLI00249,59,Masculino,Básico,15.96,8,2,6.4,0,0,0,7.3,0
CLI00250,41,Feminino,Padrão,36.69,6,3,1.2,1,0,0,6.1,1
CLI00251,47,Masculino,Padrão,32.48,2,5,4.1,1,1,0,10.0,1
CLI00252,21,Feminino,Padrão,36.36,7,5,8.7,0,1,0,5.3,0
CLI00253,47,Feminino,Básico,19.93,3,4,4.6,0,0,1,9.4,0
CLI00254,19,Feminino,Padrão,32.99,19,5,2.8,0,0,0,8.7,0
CLI00255,26,Masculino,Padrão,34.09,4,2,3.1,0,1,1,7.0,0
CLI00256,32,Masculino,Padrão,36.27,1,3,15.9,0,3,0,5.3,0
CLI00257,53,Masculino,Premium,55.11,12,2,4.4,2,3,0,5.5,1
CLI00258,39,Masculino,Básico,21.07,13,2,13.9,0,1,1,6.0,0
CLI00259,20,Feminino,Padrão,38.85,29,5,8.1,2,1,0,3.4,0
CLI00260,67,Feminino,Padrão,31.77,13,3,5.5,1,0,0,5.0,0
CLI00261,49,Feminino,Padrão,38.13,6,1,3.5,1,0,0,4.0,0
CLI00262,21,Masculino,Padrão,35.11,23,4,10.2,0,0,0,9.7,0
CLI00263,37,Feminino,Padrão,33.1,11,2,12.9,0,0,0,8.2,0
CLI00264,26,Masculino,Premium,52.24,2,3,10.9,2,1,0,8.6,1
CLI00265,63,Feminino,Básico,19.52,12,3,2.1,5,0,0,8.2,0
CLI00266,31,Masculino,Básico,21.74,34,1,4.4,2,0,0,7.3,0
CLI00267,48,Masculino,Padrão,34.64,8,3,4.8,0,0,1,9.9,0
CLI00268,24,Feminino,Padrão,37.92,5,6,1.0,1,0,0,5.8,1
CLI00269,21,Feminino,Básico,17.0,3,3,9.0,1,0,0,7.2,0
CLI00270,31,Feminino,Básico,19.88,3,4,9.9,0,0,0,8.5,0
CLI00271,44,Feminino,Básico,17.4,8,1,9.7,0,1,0,4.4,0
CLI00272,18,Masculino,Premium,55.63,13,3,8.6,0,0,0,10.0,0
CLI00273,35,Feminino,Básico,21.67,2,2,5.1,1,0,0,7.1,0
CLI00274,51,Feminino,Básico,19.06,40,4,3.4,0,1,0,7.3,0
CLI00275,34,Feminino,Básico,14.69,20,3,5.1,0,0,1,9.5,0
CLI00276,41,Masculino,Padrão,35.3,13,2,8.2,0,0,0,8.8,0
CLI00277,18,Masculino,Básico,20.77,25,3,14.8,0,0,0,7.1,0
CLI00278,34,Feminino,Padrão,35.71,2,2,6.9,1,0,0,7.3,0
CLI00279,35,Masculino,Básico,22.37,10,3,6.7,0,0,0,4.0,0
CLI00280,47,Feminino,Premium,52.76,14,6,1.1,0,0,0,5.9,0
CLI00281,22,Masculino,Básico,21.26,25,4,8.5,0,0,0,8.0,0
CLI00282,67,Masculino,Padrão,37.29,22,5,15.5,0,0,0,7.9,0
CLI00283,56,Masculino,Premium,51.34,5,3,6.0,0,2,0,9.4,0
CLI00284,48,Masculino,Padrão,35.54,40,3,5.7,3,1,0,6.8,0
CLI00285,55,Feminino,Padrão,33.89,2,1,4.9,0,1,0,4.2,1
CLI00286,54,Feminino,Básico,19.74,30,3,10.5,1,1,0,9.1,0
CLI00287,33,Feminino,Básico,20.6,50,2,1.0,1,0,0,9.9,0
CLI00288,55,Masculino,Padrão,33.93,3,2,14.0,0,0,1,8.8,0
CLI00289,16,Feminino,Premium,53.55,18,3,5.5,2,0,1,6.7,0
CLI00290,26,Feminino,Padrão,34.97,1,4,8.6,2,0,0,9.1,0
CLI00291,43,Feminino,Padrão,32.73,8,2,11.0,3,0,0,10.0,1
CLI00292,40,Masculino,Padrão,32.73,11,3,3.1,0,1,1,7.2,0
CLI00293,65,Masculino,Padrão,36.26,13,2,6.4,0,0,0,4.4,1
CLI00294,38,Masculino,Básico,17.6,39,3,5.4,0,0,1,5.8,0
CLI00295,46,Feminino,Padrão,36.23,16,2,2.5,1,0,0,8.3,1
CLI00296,45,Feminino,Premium,55.83,10,2,12.8,0,0,0,3.8,0
CLI00297,57,Feminino,Básico,16.45,24,4,5.1,1,1,0,7.3,1
CLI00298,50,Masculino,Padrão,33.54,43,4,2.4,0,0,0,7.8,0
CLI00299,22,Masculino,Básico,22.29,1,2,6.7,0,1,0,10.0,0
CLI00300,31,Feminino,Padrão,32.94,57,1,1.8,1,1,0,9.6,0
CLI00301,41,Masculino,Básico,18.97,2,4,4.6,1,0,1,8.7,1
CLI00302,63,Masculino,Padrão,35.82,24,4,8.0,1,0,0,2.7,0
CLI00303,67,Masculino,Premium,56.47,5,4,1.6,0,0,0,8.8,0
CLI00304,64,Masculino,Básico,19.4,2,1,10.0,0,0,0,8.4,0
CLI00305,17,Feminino,Padrão,33.7,9,1,7.0,0,2,0,7.5,0
CLI00306,16,Masculino,Premium,57.74,15,1,11.1,0,1,0,3.5,0
CLI00307,63,Masculino,Premium,58.38,7,5,11.0,0,1,0,5.4,0
CLI00308,27,Masculino,Básico,21.86,1,2,4.5,0,1,0,4.7,0
CLI00309,20,Masculino,Padrão,35.07,13,4,4.6,1,1,0,3.0,0
CLI00310,52,Feminino,Básico,18.28,33,1,9.1,0,0,1,7.0,0
CLI00311,47,Feminino,Premium,53.24,7,1,2.7,2,0,0,5.4,1
CLI00312,24,Masculino,Premium,55.95,4,5,2.7,0,0,1,10.0,0
CLI00313,56,Masculino,Padrão,35.74,9,2,4.0,1,0,0,6.7,0
CLI00314,50,Masculino,Premium,57.7,1,3,2.0,1,2,0,9.6,1
CLI00315,34,Masculino,Padrão,36.2,25,5,2.4,1,0,0,3.9,1
CLI00316,63,Masculino,Padrão,31.89,25,2,2.4,1,1,0,5.9,0
CLI00317,31,Masculino,Básico,22.0,13,1,5.1,1,0,0,7.2,1
CLI00318,18,Feminino,Premium,52.9,7,2,4.9,0,2,0,5.2,0
CLI00319,35,Masculino,Básico,19.13,23,3,12.2,1,0,0,6.2,0
CLI00320,39,Feminino,Premium,55.4,12,2,5.2,1,1,0,6.6,1
CLI00321,69,Feminino,Premium,58.89,25,2,6.1,1,1,1,6.5,0
CLI00322,48,Masculino,Padrão,41.12,14,2,18.8,2,1,0,10.0,0
CLI00323,39,Feminino,Básico,21.11,22,4,0.6,2,1,0,7.8,0
CLI00324,67,Feminino,Básico,19.53,13,2,7.5,1,0,1,8.0,0
CLI00325,26,Feminino,Básico,20.97,8,2,5.5,1,1,0,8.1,0
CLI00326,64,Feminino,Padrão,36.68,45,4,8.1,0,0,0,8.2,0
CLI00327,23,Feminino,Básico,19.26,11,2,4.2,0,1,0,6.8,0
CLI00328,51,Feminino,Premium,58.49,14,3,5.2,1,1,0,6.4,1
CLI00329,53,Masculino,Padrão,35.36,4,1,14.3,1,0,0,7.3,0
CLI00330,55,Feminino,Básico,20.9,14,2,9.0,0,1,0,9.3,0
CLI00331,35,Feminino,Padrão,36.23,12,4,5.3,1,1,0,9.3,0
CLI00332,50,Feminino,Padrão,35.74,3,2,3.5,0,1,0,6.5,1
CLI00333,63,Masculino,Padrão,36.58,1,5,2.7,0,0,0,8.5,0
